   1     1
  1 0.140000e-04 
          -1          -1
   2     1
  2 0.250000e-04 
          -1          -1
   3     2
  2 0.550000e-04 
  1 0.600000e-05 
          -1          -1
   4     2
  2 0.112000e-03 
  2 0.900000e-05 
          -1          -1
   5     3
  2 0.191000e-03 
  2 0.800000e-05 
  1 0.800000e-05 
          -1          -1
   6     3
  2 0.285000e-03 
  2 0.110000e-04 
  2 0.110000e-04 
          -1          -1
   7     3
  2 0.410000e-03 
  2 0.150000e-04 
  3 0.140000e-04 
          -1          -1
   8     3
  2 0.543000e-03 
  2 0.240000e-04 
  4 0.140000e-04 
          -1          -1
   9     3
  2 0.697000e-03 
  2 0.310000e-04 
  5 0.170000e-04 
          -1          -1
  10     3
  2 0.870000e-03 
  2 0.480000e-04 
  6 0.220000e-04 
          -1          -1
  11     4
  2 0.107200e-02 
  2 0.630000e-04 
  6 0.310000e-04 
  1 0.600000e-05 
          -1          -1
  12     4
  2 0.130300e-02 
  2 0.890000e-04 
  6 0.490000e-04 
  2 0.800000e-05 
          -1          -1
  13     5
  2 0.155800e-02 
  2 0.118000e-03 
  6 0.730000e-04 
  2 0.600000e-05 
  1 0.600000e-05 
          -1          -1
  14     5
  2 0.183900e-02 
  2 0.149000e-03 
  6 0.100000e-03 
  2 0.800000e-05 
  2 0.800000e-05 
          -1          -1
  15     5
  2 0.214900e-02 
  2 0.189000e-03 
  6 0.136000e-03 
  2 0.160000e-04 
  3 0.100000e-04 
          -1          -1
  16     5
  2 0.247200e-02 
  2 0.229000e-03 
  6 0.165000e-03 
  2 0.160000e-04 
  4 0.100000e-04 
          -1          -1
  17     5
  2 0.282300e-02 
  2 0.270000e-03 
  6 0.202000e-03 
  2 0.180000e-04 
  5 0.130000e-04 
          -1          -1
  18     
  2 0.320600e-02 
  2 0.326000e-03 
  6 0.251000e-03 
  2 0.290000e-04 
  6 0.160000e-04 
          -1          -1
  19     6
  2 0.360800e-02 
  2 0.379000e-03 
  6 0.297000e-03 
  2 0.350000e-04 
  6 0.180000e-04 
  1 0.600000e-05 
          -1          -1
  20     6
  2 0.403800e-02 
  2 0.438000e-03 
  2 0.350000e-03 
  4 0.347000e-03 
  2 0.440000e-04 
  2 0.250000e-04 
  4 0.250000e-04 
  2 0.600000e-05 
          -1          -1
  21     7
